Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,36,39,11,7,13,17,88,192,423,544,923,1533,2433,2761,2305,2102,2271,2422,1676,1097,652,429,204,106
Bourke Street Mall (South),2,21,16,26,10,7,13,29,107,316,402,549,877,1572,1982,1255,1104,1095,1108,705,384,337,265,162,68
Melbourne Central,3,126,89,23,19,18,36,79,225,386,482,662,1044,1749,1771,1867,1780,1862,1894,1883,1459,1191,970,673,333
Town Hall (West),4,95,78,25,18,20,53,147,358,863,958,1510,2229,3325,3289,3099,2922,2768,2924,2285,1521,1273,1023,749,297
Princes Bridge,5,63,14,26,35,28,75,301,687,1173,987,1130,1699,1995,2038,1927,2098,2131,2662,2267,1572,1126,927,1426,200
Flinders Street Station Underpass,6,126,53,25,10,42,131,424,1281,3485,1460,881,1179,1630,1790,1504,1674,2588,3976,2087,1351,1106,1074,740,387
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,3,3,1,0,1,8,125,289,533,354,285,341,726,629,422,380,502,630,361,197,203,46,16,10
Southern Cross Station,9,8,4,3,9,12,40,296,1303,3473,1632,600,609,1405,898,685,1010,2423,3107,937,209,133,75,69,44
Victoria Point,10,10,0,0,0,0,5,39,138,237,172,130,154,366,244,137,214,265,279,133,132,58,73,26,19
Waterfront City,11,13,4,0,0,1,10,28,74,72,62,61,93,151,123,77,99,83,108,152,122,192,100,50,14
New Quay,12,39,11,4,1,4,24,75,187,204,170,172,201,423,367,239,252,254,344,453,396,494,337,153,54
Sandridge Bridge,14,53,22,5,1,21,63,165,393,852,431,281,376,411,486,430,479,740,1269,601,388,404,402,243,174
Collins Place (South),17,10,12,7,4,13,54,155,459,1505,876,596,612,1371,1399,687,587,652,997,436,183,180,173,147,57
Collins Place (North),18,2,1,2,0,0,16,117,430,1413,739,459,357,535,530,412,414,670,1178,409,136,83,27,29,17
Chinatown-Swanston St (North),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown-Lt Bourke St (South),20,25,13,14,4,5,8,13,46,130,111,192,331,621,544,465,348,477,718,873,907,786,769,583,171
Bourke St-Russell St (West),21,63,32,7,16,7,2,33,61,144,176,262,444,845,933,601,649,673,778,650,733,604,425,267,128
Flinders St-Elizabeth St (East),22,111,79,37,19,25,73,312,847,2021,1335,1240,1567,2260,2238,2072,2186,2565,3098,2160,1654,1285,1157,830,288
Spencer St-Collins St (South),23,30,18,14,17,8,30,144,356,913,400,251,407,867,697,379,431,674,1006,451,262,214,164,75,62
Spencer St-Collins St (North),24,124,57,32,35,24,113,412,1105,2502,1276,936,996,1419,1467,1196,1464,2534,3072,1394,672,544,608,412,200
Melbourne Convention Exhibition Centre,25,29,17,11,11,8,40,165,426,673,402,479,661,1045,1026,1102,1033,1181,1496,1066,493,860,477,239,98
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,33,8,10,6,1,9,39,95,144,175,232,256,315,333,255,210,197,208,184,145,145,118,93,46
The Arts Centre,28,27,11,21,21,34,57,284,526,786,672,1012,1467,1740,1643,1696,1791,1650,1671,1654,959,498,770,865,73
St Kilda Rd-Alexandra Gardens,29,9,8,6,7,7,44,105,215,350,251,332,405,669,781,638,741,661,878,536,575,329,204,167,47
Lonsdale St (South),30,64,45,28,34,18,23,25,62,177,192,268,365,758,698,534,536,538,708,584,622,605,489,432,240
Lygon St (West),31,21,14,6,7,5,13,18,55,81,123,115,177,276,281,269,245,272,257,294,273,313,257,168,49
Southbank,35,136,47,37,19,21,117,511,1173,2669,1359,1144,1600,2664,2641,2076,1873,2534,3871,2621,1935,1708,1466,937,385
Queen St (West),36,13,8,4,5,5,13,48,147,353,299,266,355,697,620,415,311,358,454,302,198,150,165,75,35
Lygon St (East),37,32,5,5,10,10,5,13,27,67,110,127,165,243,247,186,198,203,209,143,0,0,0,0,32
Alfred Place,39,2,0,0,0,0,0,8,85,194,186,178,184,393,330,155,157,169,168,127,50,35,6,9,3
