Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-01-01,12.6,23.2,0.0,7.2,11.4,SSW,31.0,14:35,17.6,65,7,SW,4,1021.7,22.5,60,7.0,SSW,13,1017.7,17.9,10.6,No Rain,No Rain,2024,1,1,January,Summer
2024-02-01,16.9,24.7,0.0,6.8,3.3,SW,41.0,14:23,19.6,81,7,NNW,7,1017.4,21.9,77,8.0,SW,15,1014.8,20.799999999999997,7.800000000000001,No Rain,No Rain,2024,2,1,February,Summer
2024-03-01,17.8,26.9,17.8,5.8,3.6,S,30.0,21:34,19.3,100,7, ,Calm,1015.4,26.3,70,7.0,S,6,1013.3,22.35,9.099999999999998,Rainy,Heavy,2024,3,1,March,Autumn
2024-04-01,17.8,21.9,1.0,4.0,3.2,SSW,33.0,17:46,18.3,80,8,SSW,11,1020.1,20.3,71,7.0,SSW,15,1019.8,19.85,4.099999999999998,Rainy,Light,2024,4,1,April,Autumn
2024-05-01,15.9,28.9,0.0,4.8,5.7,SE,31.0,18:48,19.9,81,7,NW,6,1021.2,26.4,58,6.0,SSW,9,1019.0,22.4,12.999999999999998,No Rain,No Rain,2024,5,1,May,Autumn
2024-06-01,16.7,32.6,0.0,5.6,9.4,N,35.0,9:33,21.7,68,6,ENE,2,1019.0,31.7,36,7.0,NNW,7,1014.6,24.65,15.900000000000002,No Rain,No Rain,2024,6,1,June,Winter
2024-07-01,21.4,27.2,0.0,8.4,0.2,NNE,43.0,9:21,26.1,50,7,N,15,1010.8,20.5,95,8.0,NNE,11,1009.6,24.299999999999997,5.800000000000001,No Rain,No Rain,2024,7,1,July,Winter
2024-08-01,19.9,20.3,37.8,9.4,0.0,SW,31.0,11:47,20.2,100,7,SSW,9,1007.4,18.3,100,7.0,SW,11,1010.0,20.1,0.40000000000000213,Rainy,Heavy,2024,8,1,August,Winter
2024-09-01,15.5,24.2,25.6,1.0,10.9,SSW,31.0,13:08,19.6,77,7,ESE,6,1014.2,22.9,67,4.0,SW,17,1012.4,19.85,8.7,Rainy,Heavy,2024,9,1,September,Spring
2024-10-01,16.9,27.4,0.2,4.4,12.8,SSW,39.0,10:46,22.1,72,1,NNE,9,1011.8,22.4,74,6.0,S,15,1014.6,22.15,10.5,Rainy,Light,2024,10,1,October,Spring
2024-11-01,17.5,23.1,0.0,7.6,10.0,S,41.0,14:44,19.2,63,7,SSE,7,1021.2,22.3,65,4.0,SSW,19,1020.7,20.3,5.600000000000001,No Rain,No Rain,2024,11,1,November,Spring
2024-12-01,16.3,33.4,0.0,6.8,12.5,NNW,31.0,11:32,20.6,74,1,N,9,1018.2,27.8,60,6.0,SSW,13,1014.4,24.85,17.099999999999998,No Rain,No Rain,2024,12,1,December,Summer
2024-01-13,19.1,21.7,0.0,6.6,0.5,S,31.0,16:22,20.7,73,8,SSE,9,1019.0,18.7,82,8.0,S,11,1020.3,20.4,2.599999999999998,No Rain,No Rain,2024,1,13,January,Summer
