Sensor,Sensor ID,Hour,Pedestrian_Count,Hour_24,Time_Period,Location_Type
Bourke Street Mall (North),1,Midnight,79.0,0,Night,Retail
Bourke Street Mall (South),2,Midnight,100.0,0,Night,Retail
Melbourne Central,3,Midnight,243.0,0,Night,Transport Hub
Town Hall (West),4,Midnight,435.0,0,Night,Public Building
Princes Bridge,5,Midnight,393.0,0,Night,Outdoor
Flinders Street Station Underpass,6,Midnight,290.0,0,Night,Transport Hub
Birrarung Marr,7,Midnight,0.0,0,Night,Mixed Use
Webb Bridge,8,Midnight,4.0,0,Night,Outdoor
Southern Cross Station,9,Midnight,27.0,0,Night,Transport Hub
Victoria Point,10,Midnight,10.0,0,Night,Mixed Use
Waterfront City,11,Midnight,10.0,0,Night,Mixed Use
New Quay,12,Midnight,43.0,0,Night,Mixed Use
Sandridge Bridge,14,Midnight,95.0,0,Night,Outdoor
Collins Place (South),17,Midnight,37.0,0,Night,Mixed Use
Collins Place (North),18,Midnight,10.0,0,Night,Mixed Use
Chinatown-Swanston St (North),19,Midnight,0.0,0,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,Midnight,167.0,0,Night,Mixed Use
Bourke St-Russell St (West),21,Midnight,160.0,0,Night,Mixed Use
Flinders St-Elizabeth St (East),22,Midnight,239.0,0,Night,Mixed Use
Spencer St-Collins St (South),23,Midnight,37.0,0,Night,Mixed Use
Spencer St-Collins St (North),24,Midnight,125.0,0,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,Midnight,90.0,0,Night,Mixed Use
QV Market-Elizabeth St (West),26,Midnight,0.0,0,Night,Mixed Use
QV Market-Peel St,27,Midnight,45.0,0,Night,Mixed Use
The Arts Centre,28,Midnight,80.0,0,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,Midnight,218.0,0,Night,Mixed Use
Lonsdale St (South),30,Midnight,220.0,0,Night,Mixed Use
Lygon St (West),31,Midnight,19.0,0,Night,Mixed Use
Southbank,35,Midnight,791.0,0,Night,Mixed Use
Queen St (West),36,Midnight,87.0,0,Night,Mixed Use
Lygon St (East),37,Midnight,22.0,0,Night,Mixed Use
Alfred Place,39,Midnight,3.0,0,Night,Mixed Use
Lonsdale St-Spring St (West),40,Midnight,37.0,0,Night,Mixed Use
Grattan St-Swanston St (West),42,Midnight,12.0,0,Night,Mixed Use
Monash Rd-Swanston St (West),43,Midnight,6.0,0,Night,Mixed Use
Tin Alley-Swanston St (West),44,Midnight,3.0,0,Night,Mixed Use
Little Collins St-Swanston St (East),45,Midnight,204.0,0,Night,Mixed Use
Flinders La-Swanston St (West),41,Midnight,640.0,0,Night,Mixed Use
Pelham St (South),46,Midnight,0.0,0,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,Midnight,213.0,0,Night,Transport Hub
QVM-Queen St (East),48,Midnight,0.0,0,Night,Mixed Use
QVM-Therry St (South),49,Midnight,62.0,0,Night,Mixed Use
Faraday St-Lygon St (West),50,Midnight,10.0,0,Night,Mixed Use
QVM-Franklin St (North),51,Midnight,46.0,0,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,Midnight,87.0,0,Night,Mixed Use
Collins St (North),53,Midnight,35.0,0,Night,Mixed Use
Lincoln-Swanston (West),54,Midnight,35.0,0,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,Midnight,113.0,0,Night,Mixed Use
Bourke St Bridge,57,Midnight,0.0,0,Night,Outdoor
Bourke St - Spencer St (North),58,Midnight,126.0,0,Night,Mixed Use
RMIT Building 80,59,Midnight,70.0,0,Night,Mixed Use
RMIT Building 14,61,Midnight,98.0,0,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,Midnight,0.0,0,Night,Mixed Use
La Trobe St (North),62,Midnight,58.0,0,Night,Mixed Use
231 Bourke St,63,Midnight,58.0,0,Night,Mixed Use
Royal Pde - Grattan St,64,Midnight,0.0,0,Night,Mixed Use
Swanston St - City Square,65,Midnight,0.0,0,Night,Mixed Use
State Library- New,66,Midnight,138.0,0,Night,Mixed Use
Flinders Ln -Degraves St (South),67,Midnight,78.0,0,Night,Mixed Use
Flinders Ln -Degraves St (North),68,Midnight,9.0,0,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,Midnight,2.0,0,Night,Mixed Use
Errol Street (East),70,Midnight,4.0,0,Night,Mixed Use
Westwood Place,71,Midnight,27.0,0,Night,Mixed Use
Flinders St- ACMI,72,Midnight,93.0,0,Night,Mixed Use
Bourke St - Spencer St (South),73,Midnight,0.0,0,Night,Mixed Use
Spring St- Flinders St (West),75,Midnight,25.0,0,Night,Mixed Use
Macaulay Rd-Bellair St,76,Midnight,1.0,0,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,Midnight,46.0,0,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,Midnight,14.0,0,Night,Mixed Use
Flinders St (South),79,Midnight,409.0,0,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,Midnight,239.0,0,Night,Mixed Use
Macaulay Rd (North),85,Midnight,4.0,0,Night,Mixed Use
Queensberry St - Errol St (South),86,Midnight,2.0,0,Night,Mixed Use
Errol St (West),87,Midnight,10.0,0,Night,Mixed Use
Flagstaff station (East),88,Midnight,41.0,0,Night,Transport Hub
William St - Little Lonsdale St (West),89,Midnight,62.0,0,Night,Mixed Use
La Trobe St - William St (South),90,Midnight,52.0,0,Night,Mixed Use
